Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
"Lip, oral cavity",1,900,N.A.,1,0,5.8,6.77,,268999
"Lip, oral cavity",1,900,N.A.,2,0,2.29,3.09,,120847
Salivary glands,2,900,N.A.,2,0,0.49,0.62,,24120
Salivary glands,2,900,N.A.,1,0,0.66,0.78,,30963
Oropharynx,3,900,N.A.,1,0,1.87,2.17,,86339
Oropharynx,3,900,N.A.,2,0,0.39,0.51,,20061
Nasopharynx,4,900,N.A.,1,0,1.92,2.17,,86289
Nasopharynx,4,900,N.A.,2,0,0.73,0.87,,34145
Hypopharynx,5,900,N.A.,1,0,1.55,1.81,,72077
Hypopharynx,5,900,N.A.,2,0,0.29,0.36,,14180
Oesophagus,6,900,N.A.,1,0,7.58,9.19,,365225
Oesophagus,6,900,N.A.,2,0,2.62,3.73,,145829
Stomach,7,900,N.A.,1,0,12.79,15.79,,627458
Stomach,7,900,N.A.,2,0,6,8.72,,341326
Colorectum,41,900,N.A.,1,0,21.94,26.92,,1069446
Colorectum,41,900,N.A.,2,0,15.16,21.9,,856979
Liver and intrahepatic bile ducts,11,900,N.A.,1,0,12.67,15.12,,600676
Liver and intrahepatic bile ducts,11,900,N.A.,2,0,4.76,6.79,,265460
Gallbladder,12,900,N.A.,2,0,1.41,2.02,,78953
Gallbladder,12,900,N.A.,1,0,0.88,1.1,,43538
Pancreas,13,900,N.A.,1,0,5.45,6.79,,269709
Pancreas,13,900,N.A.,2,0,3.98,6.17,,241283
Larynx,14,900,N.A.,1,0,3.51,4.17,,165794
Larynx,14,900,N.A.,2,0,0.45,0.6,,23397
"Trachea, bronchus and lung",15,900,N.A.,1,0,32.07,39.57,,1572045
"Trachea, bronchus and lung",15,900,N.A.,2,0,16.24,23.22,,908630
Melanoma of skin,16,900,N.A.,1,0,3.66,4.53,,179953
Melanoma of skin,16,900,N.A.,2,0,2.88,3.88,,151769
Mesothelioma,18,900,N.A.,1,0,0.42,0.54,,21410
Mesothelioma,18,900,N.A.,2,0,0.16,0.24,,9223
Kaposi sarcoma,19,900,N.A.,1,0,0.56,0.62,,24620
Kaposi sarcoma,19,900,N.A.,2,0,0.26,0.29,,11193
Breast,20,900,N.A.,2,0,46.82,58.71,,2296840
Vulva,21,900,N.A.,2,0,0.83,1.21,,47336
Vagina,22,900,N.A.,2,0,0.36,0.48,,18819
Cervix uteri,23,900,N.A.,2,0,14.12,16.93,,662301
Corpus uteri,24,900,N.A.,2,0,8.37,10.74,,420368
Ovary,25,900,N.A.,2,0,6.65,8.3,,324603
Penis,26,900,N.A.,1,0,0.79,0.95,,37700
Prostate,27,900,N.A.,1,0,29.42,36.95,,1467854
Testis,28,900,N.A.,1,0,1.69,1.81,,72040
Kidney,29,900,N.A.,1,0,5.92,6.99,,277800
Kidney,29,900,N.A.,2,0,3.04,4.01,,157040
Bladder,30,900,N.A.,1,0,9.31,11.86,,471293
Bladder,30,900,N.A.,2,0,2.38,3.66,,143005
" Brain, central nervous system",31,900,N.A.,2,0,3.09,3.78,,148032
" Brain, central nervous system",31,900,N.A.,1,0,3.88,4.37,,173699
Thyroid,32,900,N.A.,2,0,13.64,15.71,,614729
Thyroid,32,900,N.A.,1,0,4.59,5.2,,206485
Hodgkin lymphoma,33,900,N.A.,1,0,1.14,1.23,,48774
Hodgkin lymphoma,33,900,N.A.,2,0,0.77,0.86,,33695
Non-Hodgkin lymphoma,34,900,N.A.,1,0,6.64,7.84,,311375
Non-Hodgkin lymphoma,34,900,N.A.,2,0,4.58,6.19,,242014
Multiple myeloma,35,900,N.A.,1,0,2.12,2.61,,103805
Multiple myeloma,35,900,N.A.,2,0,1.51,2.15,,84147
Leukaemia,36,900,N.A.,1,0,6.23,7,,278120
Leukaemia,36,900,N.A.,2,0,4.38,5.35,,209174
Other specified cancers,37,900,N.A.,1,0,8.45,9.82,,390243
Other specified cancers,37,900,N.A.,2,0,6.26,8.03,,314204
Unspecified sites,38,900,N.A.,1,0,5.1,6.12,,243096
Unspecified sites,38,900,N.A.,2,0,3.94,5.4,,211439
,20,900,,1,0,0,0,0,0
,23,900,,1,0,0,0,0,0
,24,900,,1,0,0,0,0,0
,25,900,,1,0,0,0,0,0
,26,900,,2,0,0,0,0,0
,27,900,,2,0,0,0,0,0
,28,900,,2,0,0,0,0,0
,22,900,,1,0,0,0,0,0
,21,900,,1,0,0,0,0,0
